% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
24	1	0	1	0	0	19	0	1	1	0
39	1	0	1	0	0	85	0	1	1	0
47	1	0	1	0	28	2292	0	1	1	0
49	1	0	1	0	28	2292	0	1	1	0
55	1	0	1	0	28	2292	0	1	1	0
67	1	0	1	0	28	2292	0	1	1	0
69	1	0	1	0	28	2292	0	1	1	0
75	1	0	1	0	28	2292	0	1	1	0
87	1	0	1	0	28	2292	0	1	1	0
97	1	0	1	0	28	2292	0	1	1	0
107	1	0	1	0	28	2292	0	1	1	0
117	1	0	1	0	28	2292	0	1	1	0
127	1	0	1	0	28	2292	0	1	1	0
137	1	0	1	0	28	2292	0	1	1	0
147	1	0	1	0	28	2292	0	1	1	0
157	1	0	1	0	28	2292	0	1	1	0
167	1	0	1	0	28	2292	0	1	1	0
177	1	0	1	0	28	2292	0	1	1	0
187	1	0	1	0	28	2292	0	1	1	0
197	1	0	1	0	28	2292	0	1	1	0
217	2	1	1	0	0	85	0	1	1	0
218	2	1	1	0	0	85	0	1	1	0
219	2	1	1	0	0	85	0	1	1	0
220	2	1	1	0	0	85	0	1	1	0
221	2	1	1	0	0	85	0	1	1	0
222	2	1	1	0	0	85	0	1	1	0
223	2	1	1	0	0	85	0	1	1	0
224	2	1	1	0	28	2292	0	1	1	0
227	2	1	1	0	28	2292	0	1	1	0
230	2	1	1	0	28	2292	0	1	1	0
233	2	1	1	0	28	2292	0	1	1	0
247	2	1	1	0	28	2292	0	1	1	0
249	2	1	1	0	28	2292	0	1	1	0
253	2	1	1	0	28	2292	0	1	1	0
267	2	1	1	0	28	2292	0	1	1	0
277	2	1	1	0	28	2292	0	1	1	0
287	2	1	1	0	28	2292	0	1	1	0
297	2	1	1	0	28	2292	0	1	1	0
